yyyy;mm;dd;date;uvief;uvdef;uvdvf;uvddf;ozone
1971;3;28;1971-03-28;11964.68515;5672.31753;10967.41840;3371.94646;2957.11774
1971;3;29;1971-03-29;12345.28028;5843.94130;11369.20808;3556.67648;2887.47466
1971;3;30;1971-03-30;12906.23654;6096.68090;11961.51514;3834.65594;2792.69360
1971;3;31;1971-03-31;11610.32319;5507.65921;10596.87869;3215.29345;3003.36080
1971;4;1;1971-04-01;12432.53888;5878.48866;11463.99813;3610.82008;2854.83614
1971;4;2;1971-04-02;11563.56486;5483.15671;10549.36171;3200.79627;2997.82600
1971;4;3;1971-04-03;12014.16514;5685.71351;11025.51877;3418.09439;2910.86348
1971;4;4;1971-04-04;12543.32800;5925.04860;11583.87616;3677.62402;2817.22306
1971;4;5;1971-04-05;12927.74522;6097.20368;11990.75539;3872.31056;2751.49626
1971;4;6;1971-04-06;11727.00927;5550.94811;10726.46915;3294.44790;2939.33814
1971;4;7;1971-04-07;10572.85017;5026.10296;9515.64820;2769.55861;3155.94080
1971;4;8;1971-04-08;11803.41923;5583.03816;10810.89177;3339.55592;2909.89640
1971;4;9;1971-04-09;11252.21589;5331.90547;10232.68429;3086.43058;3001.95094
1971;4;10;1971-04-10;10325.94456;4910.45181;9261.30350;2672.02637;3182.70160
1971;4;11;1971-04-11;11077.57087;5249.09517;10052.62167;3015.41372;3017.67346
1971;4;12;1971-04-12;10781.56492;5114.24492;9744.76877;2884.72386;3066.77840
1971;4;13;1971-04-13;12093.55523;5706.15588;11124.95363;3504.51388;2817.95906
1971;4;14;1971-04-14;11719.31911;5535.54388;10733.63657;3330.82360;2872.16306
1971;4;15;1971-04-15;11422.76182;5399.82337;10423.97833;3196.10308;2914.57214
1971;4;16;1971-04-16;11271.54106;5330.04626;10267.96946;3130.52786;2932.92054
1971;4;17;1971-04-17;11080.96080;5242.12160;10069.09760;3046.86454;2958.39040
1971;4;18;1971-04-18;10882.94783;5150.53452;9863.76117;2961.11706;2986.72306
1971;4;19;1971-04-19;10588.31832;5015.77449;9558.05487;2832.38852;3034.93400
1971;4;20;1971-04-20;10483.63519;4967.01047;9450.36173;2789.72809;3046.14120
1971;4;21;1971-04-21;10583.63196;5010.68632;9558.24959;2840.44543;3013.80694
1971;4;22;1971-04-22;10966.30046;5182.54190;9961.84128;3021.39195;2928.10946
1971;4;23;1971-04-23;9667.88403;4593.51456;8604.39540;2444.51501;3193.68520
1971;4;24;1971-04-24;9171.42271;4367.94736;8089.09980;2238.88569;3306.16332
1971;4;25;1971-04-25;9811.25450;4656.11385;8760.79266;2517.26672;3135.66160
